0:  bodyHeight£¨r£©=15,fuzelength=3, headlength=5, bodylength=50, rearlength=2, rearheigth=7
1:  bodyHeight£¨r£©=15,fuzelength=3, headlength=5, bodylength=50, rearlength=2, rearheigth=10
2:  bodyHeight£¨r£©=15,fuzelength=3, headlength=5, bodylength=50, rearlength=2, rearheigth=13
3:  bodyHeight£¨r£©=15,fuzelength=3, headlength=5, bodylength=45, rearlength=7, rearheigth=7
4:  bodyHeight£¨r£©=15,fuzelength=3, headlength=5, bodylength=45, rearlength=7, rearheigth=10
5:  bodyHeight£¨r£©=15,fuzelength=3, headlength=5, bodylength=45, rearlength=7, rearheigth=13
6:  bodyHeight£¨r£©=15,fuzelength=3, headlength=10, bodylength=45, rearlength=2, rearheigth=7
7:  bodyHeight£¨r£©=15,fuzelength=3, headlength=10, bodylength=45, rearlength=2, rearheigth=10
8:  bodyHeight£¨r£©=15,fuzelength=3, headlength=10, bodylength=45, rearlength=2, rearheigth=13
9:  bodyHeight£¨r£©=15,fuzelength=3, headlength=10, bodylength=40, rearlength=7, rearheigth=7
10:  bodyHeight£¨r£©=15,fuzelength=3, headlength=10, bodylength=40, rearlength=7, rearheigth=10
11:  bodyHeight£¨r£©=15,fuzelength=3, headlength=10, bodylength=40, rearlength=7, rearheigth=13
12:  bodyHeight£¨r£©=15,fuzelength=3, headlength=15, bodylength=40, rearlength=2, rearheigth=7
13:  bodyHeight£¨r£©=15,fuzelength=3, headlength=15, bodylength=40, rearlength=2, rearheigth=10
14:  bodyHeight£¨r£©=15,fuzelength=3, headlength=15, bodylength=40, rearlength=2, rearheigth=13
15:  bodyHeight£¨r£©=15,fuzelength=3, headlength=15, bodylength=35, rearlength=7, rearheigth=7
16:  bodyHeight£¨r£©=15,fuzelength=3, headlength=15, bodylength=35, rearlength=7, rearheigth=10
17:  bodyHeight£¨r£©=15,fuzelength=3, headlength=15, bodylength=35, rearlength=7, rearheigth=13
18:  bodyHeight£¨r£©=15,fuzelength=3, headlength=20, bodylength=35, rearlength=2, rearheigth=7
19:  bodyHeight£¨r£©=15,fuzelength=3, headlength=20, bodylength=35, rearlength=2, rearheigth=10
20:  bodyHeight£¨r£©=15,fuzelength=3, headlength=20, bodylength=35, rearlength=2, rearheigth=13
21:  bodyHeight£¨r£©=15,fuzelength=3, headlength=20, bodylength=30, rearlength=7, rearheigth=7
22:  bodyHeight£¨r£©=15,fuzelength=3, headlength=20, bodylength=30, rearlength=7, rearheigth=10
23:  bodyHeight£¨r£©=15,fuzelength=3, headlength=20, bodylength=30, rearlength=7, rearheigth=13
24:  bodyHeight£¨r£©=15,fuzelength=3, headlength=25, bodylength=30, rearlength=2, rearheigth=7
25:  bodyHeight£¨r£©=15,fuzelength=3, headlength=25, bodylength=30, rearlength=2, rearheigth=10
26:  bodyHeight£¨r£©=15,fuzelength=3, headlength=25, bodylength=30, rearlength=2, rearheigth=13
27:  bodyHeight£¨r£©=15,fuzelength=3, headlength=25, bodylength=25, rearlength=7, rearheigth=7
28:  bodyHeight£¨r£©=15,fuzelength=3, headlength=25, bodylength=25, rearlength=7, rearheigth=10
29:  bodyHeight£¨r£©=15,fuzelength=3, headlength=25, bodylength=25, rearlength=7, rearheigth=13
30:  bodyHeight£¨r£©=15,fuzelength=3, headlength=30, bodylength=25, rearlength=2, rearheigth=7
