0:  bodyHeight£¨r£©=12,fuzelength=1, headlength=5, bodylength=50, rearlength=4, rearheigth=6
1:  bodyHeight£¨r£©=12,fuzelength=1, headlength=5, bodylength=50, rearlength=4, rearheigth=9
2:  bodyHeight£¨r£©=12,fuzelength=1, headlength=5, bodylength=45, rearlength=9, rearheigth=6
3:  bodyHeight£¨r£©=12,fuzelength=1, headlength=5, bodylength=45, rearlength=9, rearheigth=9
4:  bodyHeight£¨r£©=12,fuzelength=1, headlength=10, bodylength=45, rearlength=4, rearheigth=6
5:  bodyHeight£¨r£©=12,fuzelength=1, headlength=10, bodylength=45, rearlength=4, rearheigth=9
6:  bodyHeight£¨r£©=12,fuzelength=1, headlength=10, bodylength=40, rearlength=9, rearheigth=6
7:  bodyHeight£¨r£©=12,fuzelength=1, headlength=10, bodylength=40, rearlength=9, rearheigth=9
8:  bodyHeight£¨r£©=12,fuzelength=1, headlength=15, bodylength=40, rearlength=4, rearheigth=6
9:  bodyHeight£¨r£©=12,fuzelength=1, headlength=15, bodylength=40, rearlength=4, rearheigth=9
10:  bodyHeight£¨r£©=12,fuzelength=1, headlength=15, bodylength=35, rearlength=9, rearheigth=6
11:  bodyHeight£¨r£©=12,fuzelength=1, headlength=15, bodylength=35, rearlength=9, rearheigth=9
12:  bodyHeight£¨r£©=12,fuzelength=1, headlength=20, bodylength=35, rearlength=4, rearheigth=6
13:  bodyHeight£¨r£©=12,fuzelength=1, headlength=20, bodylength=35, rearlength=4, rearheigth=9
14:  bodyHeight£¨r£©=12,fuzelength=1, headlength=20, bodylength=30, rearlength=9, rearheigth=6
15:  bodyHeight£¨r£©=12,fuzelength=1, headlength=20, bodylength=30, rearlength=9, rearheigth=9
16:  bodyHeight£¨r£©=12,fuzelength=1, headlength=25, bodylength=30, rearlength=4, rearheigth=6
17:  bodyHeight£¨r£©=12,fuzelength=1, headlength=25, bodylength=30, rearlength=4, rearheigth=9
18:  bodyHeight£¨r£©=12,fuzelength=1, headlength=25, bodylength=25, rearlength=9, rearheigth=6
19:  bodyHeight£¨r£©=12,fuzelength=1, headlength=25, bodylength=25, rearlength=9, rearheigth=9
20:  bodyHeight£¨r£©=12,fuzelength=1, headlength=30, bodylength=25, rearlength=4, rearheigth=6
21:  bodyHeight£¨r£©=12,fuzelength=1, headlength=30, bodylength=25, rearlength=4, rearheigth=9
22:  bodyHeight£¨r£©=12,fuzelength=1, headlength=30, bodylength=20, rearlength=9, rearheigth=6
23:  bodyHeight£¨r£©=12,fuzelength=1, headlength=30, bodylength=20, rearlength=9, rearheigth=9
24:  bodyHeight£¨r£©=12,fuzelength=1, headlength=35, bodylength=20, rearlength=4, rearheigth=6
25:  bodyHeight£¨r£©=12,fuzelength=1, headlength=35, bodylength=20, rearlength=4, rearheigth=9
26:  bodyHeight£¨r£©=12,fuzelength=1, headlength=35, bodylength=15, rearlength=9, rearheigth=6
27:  bodyHeight£¨r£©=12,fuzelength=1, headlength=35, bodylength=15, rearlength=9, rearheigth=9
28:  bodyHeight£¨r£©=12,fuzelength=3, headlength=5, bodylength=50, rearlength=2, rearheigth=6
29:  bodyHeight£¨r£©=12,fuzelength=3, headlength=5, bodylength=50, rearlength=2, rearheigth=9
30:  bodyHeight£¨r£©=12,fuzelength=3, headlength=5, bodylength=45, rearlength=7, rearheigth=6
31:  bodyHeight£¨r£©=12,fuzelength=3, headlength=5, bodylength=45, rearlength=7, rearheigth=9
32:  bodyHeight£¨r£©=12,fuzelength=3, headlength=10, bodylength=45, rearlength=2, rearheigth=6
33:  bodyHeight£¨r£©=12,fuzelength=3, headlength=10, bodylength=45, rearlength=2, rearheigth=9
34:  bodyHeight£¨r£©=12,fuzelength=3, headlength=10, bodylength=40, rearlength=7, rearheigth=6
35:  bodyHeight£¨r£©=12,fuzelength=3, headlength=10, bodylength=40, rearlength=7, rearheigth=9
36:  bodyHeight£¨r£©=12,fuzelength=3, headlength=15, bodylength=40, rearlength=2, rearheigth=6
37:  bodyHeight£¨r£©=12,fuzelength=3, headlength=15, bodylength=40, rearlength=2, rearheigth=9
38:  bodyHeight£¨r£©=12,fuzelength=3, headlength=15, bodylength=35, rearlength=7, rearheigth=6
39:  bodyHeight£¨r£©=12,fuzelength=3, headlength=15, bodylength=35, rearlength=7, rearheigth=9
40:  bodyHeight£¨r£©=12,fuzelength=3, headlength=20, bodylength=35, rearlength=2, rearheigth=6
41:  bodyHeight£¨r£©=12,fuzelength=3, headlength=20, bodylength=35, rearlength=2, rearheigth=9
42:  bodyHeight£¨r£©=12,fuzelength=3, headlength=20, bodylength=30, rearlength=7, rearheigth=6
