1:  bodyHeight£¨r£©=5,fuzelength=1, headlength=5, bodylength=50, rearlength=4, rearheigth=2
2:  bodyHeight£¨r£©=5,fuzelength=1, headlength=5, bodylength=50, rearlength=4, rearheigth=4
3:  bodyHeight£¨r£©=5,fuzelength=1, headlength=13, bodylength=45, rearlength=1, rearheigth=2
4:  bodyHeight£¨r£©=5,fuzelength=1, headlength=13, bodylength=45, rearlength=1, rearheigth=4
5:  bodyHeight£¨r£©=5,fuzelength=1, headlength=17, bodylength=35, rearlength=7, rearheigth=2
6:  bodyHeight£¨r£©=5,fuzelength=1, headlength=17, bodylength=35, rearlength=7, rearheigth=4
7:  bodyHeight£¨r£©=5,fuzelength=1, headlength=25, bodylength=30, rearlength=4, rearheigth=2
8:  bodyHeight£¨r£©=5,fuzelength=1, headlength=25, bodylength=30, rearlength=4, rearheigth=4
9:  bodyHeight£¨r£©=5,fuzelength=1, headlength=33, bodylength=25, rearlength=1, rearheigth=2
10:  bodyHeight£¨r£©=5,fuzelength=1, headlength=33, bodylength=25, rearlength=1, rearheigth=4
11:  bodyHeight£¨r£©=5,fuzelength=1, headlength=37, bodylength=15, rearlength=7, rearheigth=2
12:  bodyHeight£¨r£©=5,fuzelength=1, headlength=37, bodylength=15, rearlength=7, rearheigth=4
13:  bodyHeight£¨r£©=5,fuzelength=1, headlength=45, bodylength=10, rearlength=4, rearheigth=2
14:  bodyHeight£¨r£©=5,fuzelength=1, headlength=45, bodylength=10, rearlength=4, rearheigth=4
15:  bodyHeight£¨r£©=5,fuzelength=1, headlength=53, bodylength=5, rearlength=1, rearheigth=2
16:  bodyHeight£¨r£©=5,fuzelength=1, headlength=53, bodylength=5, rearlength=1, rearheigth=4
17:  bodyHeight£¨r£©=5,fuzelength=3, headlength=1, bodylength=55, rearlength=1, rearheigth=2
18:  bodyHeight£¨r£©=5,fuzelength=3, headlength=1, bodylength=55, rearlength=1, rearheigth=4
19:  bodyHeight£¨r£©=5,fuzelength=3, headlength=5, bodylength=45, rearlength=7, rearheigth=2
20:  bodyHeight£¨r£©=5,fuzelength=3, headlength=5, bodylength=45, rearlength=7, rearheigth=4
21:  bodyHeight£¨r£©=5,fuzelength=3, headlength=13, bodylength=40, rearlength=4, rearheigth=2
22:  bodyHeight£¨r£©=5,fuzelength=3, headlength=13, bodylength=40, rearlength=4, rearheigth=4
23:  bodyHeight£¨r£©=5,fuzelength=3, headlength=21, bodylength=35, rearlength=1, rearheigth=2
24:  bodyHeight£¨r£©=5,fuzelength=3, headlength=21, bodylength=35, rearlength=1, rearheigth=4
25:  bodyHeight£¨r£©=5,fuzelength=3, headlength=25, bodylength=25, rearlength=7, rearheigth=2
26:  bodyHeight£¨r£©=5,fuzelength=3, headlength=25, bodylength=25, rearlength=7, rearheigth=4
27:  bodyHeight£¨r£©=5,fuzelength=3, headlength=33, bodylength=20, rearlength=4, rearheigth=2
28:  bodyHeight£¨r£©=5,fuzelength=3, headlength=33, bodylength=20, rearlength=4, rearheigth=4
29:  bodyHeight£¨r£©=5,fuzelength=3, headlength=41, bodylength=15, rearlength=1, rearheigth=2
30:  bodyHeight£¨r£©=5,fuzelength=3, headlength=41, bodylength=15, rearlength=1, rearheigth=4
31:  bodyHeight£¨r£©=5,fuzelength=3, headlength=45, bodylength=5, rearlength=7, rearheigth=2
32:  bodyHeight£¨r£©=5,fuzelength=3, headlength=45, bodylength=5, rearlength=7, rearheigth=4
33:  bodyHeight£¨r£©=5,fuzelength=5, headlength=1, bodylength=50, rearlength=4, rearheigth=2
34:  bodyHeight£¨r£©=5,fuzelength=5, headlength=1, bodylength=50, rearlength=4, rearheigth=4
35:  bodyHeight£¨r£©=5,fuzelength=5, headlength=9, bodylength=45, rearlength=1, rearheigth=2
36:  bodyHeight£¨r£©=5,fuzelength=5, headlength=9, bodylength=45, rearlength=1, rearheigth=4
37:  bodyHeight£¨r£©=5,fuzelength=5, headlength=13, bodylength=35, rearlength=7, rearheigth=2
38:  bodyHeight£¨r£©=5,fuzelength=5, headlength=13, bodylength=35, rearlength=7, rearheigth=4
39:  bodyHeight£¨r£©=5,fuzelength=5, headlength=21, bodylength=30, rearlength=4, rearheigth=2
40:  bodyHeight£¨r£©=5,fuzelength=5, headlength=21, bodylength=30, rearlength=4, rearheigth=4
41:  bodyHeight£¨r£©=5,fuzelength=5, headlength=29, bodylength=25, rearlength=1, rearheigth=2
42:  bodyHeight£¨r£©=5,fuzelength=5, headlength=29, bodylength=25, rearlength=1, rearheigth=4
43:  bodyHeight£¨r£©=5,fuzelength=5, headlength=33, bodylength=15, rearlength=7, rearheigth=2
44:  bodyHeight£¨r£©=5,fuzelength=5, headlength=33, bodylength=15, rearlength=7, rearheigth=4
45:  bodyHeight£¨r£©=5,fuzelength=5, headlength=41, bodylength=10, rearlength=4, rearheigth=2
46:  bodyHeight£¨r£©=5,fuzelength=5, headlength=41, bodylength=10, rearlength=4, rearheigth=4
47:  bodyHeight£¨r£©=5,fuzelength=5, headlength=49, bodylength=5, rearlength=1, rearheigth=2
48:  bodyHeight£¨r£©=5,fuzelength=5, headlength=49, bodylength=5, rearlength=1, rearheigth=4
