0:  bodyHeight£¨r£©=10,fuzelength=2, headlength=4, bodylength=52, rearlength=2, rearheigth=5
1:  bodyHeight£¨r£©=10,fuzelength=2, headlength=4, bodylength=52, rearlength=2, rearheigth=7
2:  bodyHeight£¨r£©=10,fuzelength=2, headlength=4, bodylength=52, rearlength=2, rearheigth=9
3:  bodyHeight£¨r£©=10,fuzelength=2, headlength=4, bodylength=48, rearlength=6, rearheigth=5
4:  bodyHeight£¨r£©=10,fuzelength=2, headlength=4, bodylength=48, rearlength=6, rearheigth=7
5:  bodyHeight£¨r£©=10,fuzelength=2, headlength=4, bodylength=48, rearlength=6, rearheigth=9
6:  bodyHeight£¨r£©=10,fuzelength=2, headlength=8, bodylength=48, rearlength=2, rearheigth=5
7:  bodyHeight£¨r£©=10,fuzelength=2, headlength=8, bodylength=48, rearlength=2, rearheigth=7
8:  bodyHeight£¨r£©=10,fuzelength=2, headlength=8, bodylength=48, rearlength=2, rearheigth=9
9:  bodyHeight£¨r£©=10,fuzelength=2, headlength=8, bodylength=44, rearlength=6, rearheigth=5
10:  bodyHeight£¨r£©=10,fuzelength=2, headlength=8, bodylength=44, rearlength=6, rearheigth=7
11:  bodyHeight£¨r£©=10,fuzelength=2, headlength=8, bodylength=44, rearlength=6, rearheigth=9
12:  bodyHeight£¨r£©=10,fuzelength=2, headlength=12, bodylength=44, rearlength=2, rearheigth=5
13:  bodyHeight£¨r£©=10,fuzelength=2, headlength=12, bodylength=44, rearlength=2, rearheigth=7
14:  bodyHeight£¨r£©=10,fuzelength=2, headlength=12, bodylength=44, rearlength=2, rearheigth=9
15:  bodyHeight£¨r£©=10,fuzelength=2, headlength=12, bodylength=40, rearlength=6, rearheigth=5
16:  bodyHeight£¨r£©=10,fuzelength=2, headlength=12, bodylength=40, rearlength=6, rearheigth=7
17:  bodyHeight£¨r£©=10,fuzelength=2, headlength=12, bodylength=40, rearlength=6, rearheigth=9
18:  bodyHeight£¨r£©=10,fuzelength=2, headlength=16, bodylength=40, rearlength=2, rearheigth=5
19:  bodyHeight£¨r£©=10,fuzelength=2, headlength=16, bodylength=40, rearlength=2, rearheigth=7
20:  bodyHeight£¨r£©=10,fuzelength=2, headlength=16, bodylength=40, rearlength=2, rearheigth=9
21:  bodyHeight£¨r£©=10,fuzelength=2, headlength=16, bodylength=36, rearlength=6, rearheigth=5
22:  bodyHeight£¨r£©=10,fuzelength=2, headlength=16, bodylength=36, rearlength=6, rearheigth=7
23:  bodyHeight£¨r£©=10,fuzelength=2, headlength=16, bodylength=36, rearlength=6, rearheigth=9
24:  bodyHeight£¨r£©=10,fuzelength=2, headlength=20, bodylength=36, rearlength=2, rearheigth=5
25:  bodyHeight£¨r£©=10,fuzelength=2, headlength=20, bodylength=36, rearlength=2, rearheigth=7
26:  bodyHeight£¨r£©=10,fuzelength=2, headlength=20, bodylength=36, rearlength=2, rearheigth=9
27:  bodyHeight£¨r£©=10,fuzelength=2, headlength=20, bodylength=32, rearlength=6, rearheigth=5
28:  bodyHeight£¨r£©=10,fuzelength=2, headlength=20, bodylength=32, rearlength=6, rearheigth=7
29:  bodyHeight£¨r£©=10,fuzelength=2, headlength=20, bodylength=32, rearlength=6, rearheigth=9
30:  bodyHeight£¨r£©=10,fuzelength=2, headlength=24, bodylength=32, rearlength=2, rearheigth=5
31:  bodyHeight£¨r£©=10,fuzelength=2, headlength=24, bodylength=32, rearlength=2, rearheigth=7
32:  bodyHeight£¨r£©=10,fuzelength=2, headlength=24, bodylength=32, rearlength=2, rearheigth=9
33:  bodyHeight£¨r£©=10,fuzelength=2, headlength=24, bodylength=28, rearlength=6, rearheigth=5
34:  bodyHeight£¨r£©=10,fuzelength=2, headlength=24, bodylength=28, rearlength=6, rearheigth=7
35:  bodyHeight£¨r£©=10,fuzelength=2, headlength=24, bodylength=28, rearlength=6, rearheigth=9
36:  bodyHeight£¨r£©=10,fuzelength=2, headlength=28, bodylength=28, rearlength=2, rearheigth=5
37:  bodyHeight£¨r£©=10,fuzelength=2, headlength=28, bodylength=28, rearlength=2, rearheigth=7
38:  bodyHeight£¨r£©=10,fuzelength=2, headlength=28, bodylength=28, rearlength=2, rearheigth=9
39:  bodyHeight£¨r£©=10,fuzelength=2, headlength=28, bodylength=24, rearlength=6, rearheigth=5
40:  bodyHeight£¨r£©=10,fuzelength=2, headlength=28, bodylength=24, rearlength=6, rearheigth=7
41:  bodyHeight£¨r£©=10,fuzelength=2, headlength=28, bodylength=24, rearlength=6, rearheigth=9
42:  bodyHeight£¨r£©=10,fuzelength=4, headlength=4, bodylength=48, rearlength=4, rearheigth=5
43:  bodyHeight£¨r£©=10,fuzelength=4, headlength=4, bodylength=48, rearlength=4, rearheigth=7
44:  bodyHeight£¨r£©=10,fuzelength=4, headlength=4, bodylength=48, rearlength=4, rearheigth=9
45:  bodyHeight£¨r£©=10,fuzelength=4, headlength=4, bodylength=44, rearlength=8, rearheigth=5
46:  bodyHeight£¨r£©=10,fuzelength=4, headlength=4, bodylength=44, rearlength=8, rearheigth=7
47:  bodyHeight£¨r£©=10,fuzelength=4, headlength=4, bodylength=44, rearlength=8, rearheigth=9
48:  bodyHeight£¨r£©=10,fuzelength=4, headlength=8, bodylength=44, rearlength=4, rearheigth=5
49:  bodyHeight£¨r£©=10,fuzelength=4, headlength=8, bodylength=44, rearlength=4, rearheigth=7
