0:  bodyHeight£¨r£©=8,fuzelength=1, headlength=3, bodylength=52, rearlength=4, rearheigth=4
1:  bodyHeight£¨r£©=8,fuzelength=1, headlength=3, bodylength=52, rearlength=4, rearheigth=7
2:  bodyHeight£¨r£©=8,fuzelength=1, headlength=3, bodylength=48, rearlength=8, rearheigth=4
3:  bodyHeight£¨r£©=8,fuzelength=1, headlength=3, bodylength=48, rearlength=8, rearheigth=7
4:  bodyHeight£¨r£©=8,fuzelength=1, headlength=6, bodylength=52, rearlength=1, rearheigth=4
5:  bodyHeight£¨r£©=8,fuzelength=1, headlength=6, bodylength=52, rearlength=1, rearheigth=7
6:  bodyHeight£¨r£©=8,fuzelength=1, headlength=6, bodylength=48, rearlength=5, rearheigth=4
7:  bodyHeight£¨r£©=8,fuzelength=1, headlength=6, bodylength=48, rearlength=5, rearheigth=7
8:  bodyHeight£¨r£©=8,fuzelength=1, headlength=6, bodylength=44, rearlength=9, rearheigth=4
9:  bodyHeight£¨r£©=8,fuzelength=1, headlength=6, bodylength=44, rearlength=9, rearheigth=7
10:  bodyHeight£¨r£©=8,fuzelength=1, headlength=9, bodylength=48, rearlength=2, rearheigth=4
11:  bodyHeight£¨r£©=8,fuzelength=1, headlength=9, bodylength=48, rearlength=2, rearheigth=7
12:  bodyHeight£¨r£©=8,fuzelength=1, headlength=9, bodylength=44, rearlength=6, rearheigth=4
13:  bodyHeight£¨r£©=8,fuzelength=1, headlength=9, bodylength=44, rearlength=6, rearheigth=7
14:  bodyHeight£¨r£©=8,fuzelength=1, headlength=12, bodylength=44, rearlength=3, rearheigth=4
15:  bodyHeight£¨r£©=8,fuzelength=1, headlength=12, bodylength=44, rearlength=3, rearheigth=7
16:  bodyHeight£¨r£©=8,fuzelength=1, headlength=12, bodylength=40, rearlength=7, rearheigth=4
17:  bodyHeight£¨r£©=8,fuzelength=1, headlength=12, bodylength=40, rearlength=7, rearheigth=7
18:  bodyHeight£¨r£©=8,fuzelength=1, headlength=15, bodylength=40, rearlength=4, rearheigth=4
19:  bodyHeight£¨r£©=8,fuzelength=1, headlength=15, bodylength=40, rearlength=4, rearheigth=7
20:  bodyHeight£¨r£©=8,fuzelength=1, headlength=15, bodylength=36, rearlength=8, rearheigth=4
21:  bodyHeight£¨r£©=8,fuzelength=1, headlength=15, bodylength=36, rearlength=8, rearheigth=7
22:  bodyHeight£¨r£©=8,fuzelength=1, headlength=18, bodylength=40, rearlength=1, rearheigth=4
23:  bodyHeight£¨r£©=8,fuzelength=1, headlength=18, bodylength=40, rearlength=1, rearheigth=7
24:  bodyHeight£¨r£©=8,fuzelength=1, headlength=18, bodylength=36, rearlength=5, rearheigth=4
25:  bodyHeight£¨r£©=8,fuzelength=1, headlength=18, bodylength=36, rearlength=5, rearheigth=7
26:  bodyHeight£¨r£©=8,fuzelength=1, headlength=18, bodylength=32, rearlength=9, rearheigth=4
27:  bodyHeight£¨r£©=8,fuzelength=1, headlength=18, bodylength=32, rearlength=9, rearheigth=7
28:  bodyHeight£¨r£©=8,fuzelength=1, headlength=21, bodylength=36, rearlength=2, rearheigth=4
29:  bodyHeight£¨r£©=8,fuzelength=1, headlength=21, bodylength=36, rearlength=2, rearheigth=7
