59:  bodyHeight£¨r£©=5,fuzelength=1, headlength=30, bodylength=21, rearlength=8, rearheigth=4
60:  bodyHeight£¨r£©=5,fuzelength=1, headlength=33, bodylength=24, rearlength=2, rearheigth=2
61:  bodyHeight£¨r£©=5,fuzelength=1, headlength=33, bodylength=24, rearlength=2, rearheigth=4
62:  bodyHeight£¨r£©=5,fuzelength=1, headlength=33, bodylength=21, rearlength=5, rearheigth=2
63:  bodyHeight£¨r£©=5,fuzelength=1, headlength=33, bodylength=21, rearlength=5, rearheigth=4
64:  bodyHeight£¨r£©=5,fuzelength=1, headlength=33, bodylength=18, rearlength=8, rearheigth=2
65:  bodyHeight£¨r£©=5,fuzelength=1, headlength=33, bodylength=18, rearlength=8, rearheigth=4
66:  bodyHeight£¨r£©=5,fuzelength=1, headlength=36, bodylength=21, rearlength=2, rearheigth=2
67:  bodyHeight£¨r£©=5,fuzelength=1, headlength=36, bodylength=21, rearlength=2, rearheigth=4
68:  bodyHeight£¨r£©=5,fuzelength=1, headlength=36, bodylength=18, rearlength=5, rearheigth=2
69:  bodyHeight£¨r£©=5,fuzelength=1, headlength=36, bodylength=18, rearlength=5, rearheigth=4
70:  bodyHeight£¨r£©=5,fuzelength=1, headlength=36, bodylength=15, rearlength=8, rearheigth=2
71:  bodyHeight£¨r£©=5,fuzelength=1, headlength=36, bodylength=15, rearlength=8, rearheigth=4
72:  bodyHeight£¨r£©=5,fuzelength=1, headlength=39, bodylength=18, rearlength=2, rearheigth=2
73:  bodyHeight£¨r£©=5,fuzelength=1, headlength=39, bodylength=18, rearlength=2, rearheigth=4
74:  bodyHeight£¨r£©=5,fuzelength=1, headlength=39, bodylength=15, rearlength=5, rearheigth=2
75:  bodyHeight£¨r£©=5,fuzelength=1, headlength=39, bodylength=15, rearlength=5, rearheigth=4
76:  bodyHeight£¨r£©=5,fuzelength=1, headlength=39, bodylength=12, rearlength=8, rearheigth=2
77:  bodyHeight£¨r£©=5,fuzelength=1, headlength=39, bodylength=12, rearlength=8, rearheigth=4
78:  bodyHeight£¨r£©=5,fuzelength=2, headlength=3, bodylength=54, rearlength=1, rearheigth=2
79:  bodyHeight£¨r£©=5,fuzelength=2, headlength=3, bodylength=54, rearlength=1, rearheigth=4
80:  bodyHeight£¨r£©=5,fuzelength=2, headlength=3, bodylength=51, rearlength=4, rearheigth=2
